film_title,tmdb_id,person_name,character_name,billing_order
Doctor Strange,284052,Scott Adkins,Lucian / Strong Zealot,8
Doctor Strange,284052,Zara Phythian,Brunette Zealot,9
Guardians of the Galaxy Vol. 2,283995,Chris Pratt,Peter Quill / Star-Lord,0
Guardians of the Galaxy Vol. 2,283995,Zoe Saldaña,Gamora,1
Guardians of the Galaxy Vol. 2,283995,Dave Bautista,Drax,2
Guardians of the Galaxy Vol. 2,283995,Vin Diesel,Baby Groot (voice),3
Guardians of the Galaxy Vol. 2,283995,Bradley Cooper,Rocket (voice),4
Guardians of the Galaxy Vol. 2,283995,Kurt Russell,Ego,5
Guardians of the Galaxy Vol. 2,283995,Michael Rooker,Yondu,6
Guardians of the Galaxy Vol. 2,283995,Karen Gillan,Nebula,7
Guardians of the Galaxy Vol. 2,283995,Pom Klementieff,Mantis,8
Guardians of the Galaxy Vol. 2,283995,Sylvester Stallone,Stakar Ogord,9
Spider-Man: Homecoming,315635,Tom Holland,Peter Parker / Spider-Man,0
Spider-Man: Homecoming,315635,Michael Keaton,Adrian Toomes / Vulture,1
Spider-Man: Homecoming,315635,Robert Downey Jr.,Tony Stark / Iron Man,2
Spider-Man: Homecoming,315635,Marisa Tomei,May Parker,3
Spider-Man: Homecoming,315635,Jon Favreau,Happy Hogan,4
Spider-Man: Homecoming,315635,Gwyneth Paltrow,Pepper Potts,5
Spider-Man: Homecoming,315635,Zendaya,Michelle,6
Spider-Man: Homecoming,315635,Donald Glover,Aaron Davis,7
Spider-Man: Homecoming,315635,Jacob Batalon,Ned,8
Spider-Man: Homecoming,315635,Laura Harrier,Liz,9
Thor: Ragnarok,284053,Chris Hemsworth,Thor,0
Thor: Ragnarok,284053,Mark Ruffalo,Bruce Banner / Hulk,1
Thor: Ragnarok,284053,Tom Hiddleston,Loki,2
Thor: Ragnarok,284053,Cate Blanchett,Hela,3
Thor: Ragnarok,284053,Idris Elba,Heimdall,4
Thor: Ragnarok,284053,Jeff Goldblum,Grandmaster,5
Thor: Ragnarok,284053,Tessa Thompson,Valkyrie,6
Thor: Ragnarok,284053,Karl Urban,Skurge,7
Thor: Ragnarok,284053,Anthony Hopkins,Odin,8
Thor: Ragnarok,284053,Benedict Cumberbatch,Doctor Strange,9
Black Panther,284054,Chadwick Boseman,T'Challa / Black Panther,0
Black Panther,284054,Michael B. Jordan,Erik Killmonger,1
Black Panther,284054,Lupita Nyong'o,Nakia,2
Black Panther,284054,Danai Gurira,Okoye,3
Black Panther,284054,Martin Freeman,Everett K. Ross,4
Black Panther,284054,Daniel Kaluuya,W'Kabi,5
Black Panther,284054,Letitia Wright,Shuri,6
Black Panther,284054,Winston Duke,M'Baku,7
Black Panther,284054,Sterling K. Brown,N'Jobu,8
Black Panther,284054,Angela Bassett,Ramonda,9
Avengers: Infinity War,299536,Robert Downey Jr.,Tony Stark / Iron Man,0
Avengers: Infinity War,299536,Chris Evans,Steve Rogers / Captain America,1
Avengers: Infinity War,299536,Chris Hemsworth,Thor,2
Avengers: Infinity War,299536,Josh Brolin,Thanos,3
Avengers: Infinity War,299536,Mark Ruffalo,Bruce Banner / Hulk,4
Avengers: Infinity War,299536,Scarlett Johansson,Natasha Romanoff / Black Widow,5
Avengers: Infinity War,299536,Don Cheadle,James Rhodes / War Machine,6
Avengers: Infinity War,299536,Benedict Cumberbatch,Doctor Strange,7
Avengers: Infinity War,299536,Tom Holland,Peter Parker / Spider-Man,8
Avengers: Infinity War,299536,Chadwick Boseman,T'Challa / Black Panther,9
Ant-Man and the Wasp,363088,Paul Rudd,Scott Lang / Ant-Man,0
Ant-Man and the Wasp,363088,Evangeline Lilly,Hope Van Dyne / Wasp,1
Ant-Man and the Wasp,363088,Michael Douglas,Dr. Hank Pym,2
Ant-Man and the Wasp,363088,Hannah John-Kamen,Ava / Ghost,3
Ant-Man and the Wasp,363088,Randall Park,Jimmy Woo,4
Ant-Man and the Wasp,363088,Michelle Pfeiffer,Janet Van Dyne / Wasp,5
Ant-Man and the Wasp,363088,Laurence Fishburne,Dr. Bill Foster,6
Ant-Man and the Wasp,363088,Michael Peña,Luis,7
Ant-Man and the Wasp,363088,Walton Goggins,Sonny Burch,8
Ant-Man and the Wasp,363088,Bobby Cannavale,Paxton,9
Captain Marvel,299537,Brie Larson,Carol Danvers / Vers / Captain Marvel,0
Captain Marvel,299537,Samuel L. Jackson,Nick Fury,1
Captain Marvel,299537,Ben Mendelsohn,Talos / Keller,2
Captain Marvel,299537,Jude Law,Yon-Rogg,3
Captain Marvel,299537,Annette Bening,Supreme Intelligence / Dr. Wendy Lawson,4
Captain Marvel,299537,Djimon Hounsou,Korath,5
Captain Marvel,299537,Lee Pace,Ronan,6
Captain Marvel,299537,Lashana Lynch,Maria Rambeau,7
Captain Marvel,299537,Gemma Chan,Minn-Erva,8
Captain Marvel,299537,Clark Gregg,Agent Coulson,9
Avengers: Endgame,299534,Robert Downey Jr.,Tony Stark / Iron Man,0
Avengers: Endgame,299534,Chris Evans,Steve Rogers / Captain America,1
Avengers: Endgame,299534,Mark Ruffalo,Bruce Banner / Hulk,2
Avengers: Endgame,299534,Chris Hemsworth,Thor,3
Avengers: Endgame,299534,Scarlett Johansson,Natasha Romanoff / Black Widow,4
Avengers: Endgame,299534,Jeremy Renner,Clint Barton / Hawkeye,5
Avengers: Endgame,299534,Josh Brolin,Thanos,6
Avengers: Endgame,299534,Don Cheadle,James Rhodes / War Machine,7
Avengers: Endgame,299534,Paul Rudd,Scott Lang / Ant-Man,8
Avengers: Endgame,299534,Benedict Cumberbatch,Doctor Strange,9
Spider-Man: Far From Home,429617,Tom Holland,Peter Parker / Spider-Man,0
Spider-Man: Far From Home,429617,Jake Gyllenhaal,Quentin Beck / Mysterio,1
Spider-Man: Far From Home,429617,Samuel L. Jackson,Nick Fury,2
Spider-Man: Far From Home,429617,Marisa Tomei,May Parker,3
Spider-Man: Far From Home,429617,Jon Favreau,Happy Hogan,4
Spider-Man: Far From Home,429617,Zendaya,MJ,5
Spider-Man: Far From Home,429617,Jacob Batalon,Ned Leeds,6
Spider-Man: Far From Home,429617,Tony Revolori,Flash Thompson,7
Spider-Man: Far From Home,429617,Angourie Rice,Betty Brant,8
Spider-Man: Far From Home,429617,Remy Hii,Brad Davis,9
Black Widow,497698,Scarlett Johansson,Natasha Romanoff / Black Widow,0
Black Widow,497698,Florence Pugh,Yelena Belova,1
Black Widow,497698,Rachel Weisz,Melina,2
Black Widow,497698,David Harbour,Alexei,3
Black Widow,497698,Ray Winstone,Dreykov,4
Black Widow,497698,Ever Anderson,Young Natasha,5
Black Widow,497698,Violet McGraw,Young Yelena,6
Black Widow,497698,O-T Fagbenle,Mason,7
Black Widow,497698,William Hurt,Secretary Ross,8
Black Widow,497698,Olga Kurylenko,Antonia / Taskmaster,9
Shang-Chi and the Legend of the Ten Rings,566525,Simu Liu,Shaun / Shang-Chi,0
Shang-Chi and the Legend of the Ten Rings,566525,Tony Leung Chiu-wai,Xu Wenwu,1
Shang-Chi and the Legend of the Ten Rings,566525,Awkwafina,Katy,2
Shang-Chi and the Legend of the Ten Rings,566525,Ben Kingsley,Trevor Slattery,3
Shang-Chi and the Legend of the Ten Rings,566525,Zhang Meng'er,Xialing,4
Shang-Chi and the Legend of the Ten Rings,566525,Fala Chen,Li,5
Shang-Chi and the Legend of the Ten Rings,566525,Michelle Yeoh,Ying Nan,6
Shang-Chi and the Legend of the Ten Rings,566525,Yuen Wah,Master Guang Bo,7
Shang-Chi and the Legend of the Ten Rings,566525,Florian Munteanu,Razor Fist,8
Shang-Chi and the Legend of the Ten Rings,566525,Andy Le,Death Dealer,9
Eternals,524434,Gemma Chan,Sersi,0
Eternals,524434,Richard Madden,Ikaris,1
Eternals,524434,Angelina Jolie,Thena,2
Eternals,524434,Salma Hayek Pinault,Ajak,3
Eternals,524434,Kumail Nanjiani,Kingo,4
Eternals,524434,Lia McHugh,Sprite,5
Eternals,524434,Brian Tyree Henry,Phastos,6
Eternals,524434,Lauren Ridloff,Makkari,7
Eternals,524434,Barry Keoghan,Druig,8
Eternals,524434,Don Lee,Gilgamesh,9
Spider-Man: No Way Home,634649,Tom Holland,Peter Parker / Spider-Man,0
Spider-Man: No Way Home,634649,Zendaya,MJ,1
Spider-Man: No Way Home,634649,Benedict Cumberbatch,Doctor Strange,2
Spider-Man: No Way Home,634649,Jacob Batalon,Ned Leeds,3
Spider-Man: No Way Home,634649,Jon Favreau,Happy Hogan,4
Spider-Man: No Way Home,634649,Jamie Foxx,Max Dillon / Electro,5
Spider-Man: No Way Home,634649,Willem Dafoe,Norman Osborn / Green Goblin,6
Spider-Man: No Way Home,634649,Alfred Molina,Dr. Otto Octavius / Doc Ock,7
Spider-Man: No Way Home,634649,Benedict Wong,Wong,8
Spider-Man: No Way Home,634649,Tony Revolori,Flash Thompson,9
Doctor Strange in the Multiverse of Madness,453395,Benedict Cumberbatch,Doctor Stephen Strange,0
Doctor Strange in the Multiverse of Madness,453395,Xochitl Gomez,America Chavez,1
Doctor Strange in the Multiverse of Madness,453395,Elizabeth Olsen,Wanda Maximoff / The Scarlet Witch,2
Doctor Strange in the Multiverse of Madness,453395,Chiwetel Ejiofor,Baron Mordo,3
Doctor Strange in the Multiverse of Madness,453395,Benedict Wong,Wong,4
Doctor Strange in the Multiverse of Madness,453395,Rachel McAdams,Dr. Christine Palmer,5
Doctor Strange in the Multiverse of Madness,453395,Jett Klyne,Tommy Maximoff,6
Doctor Strange in the Multiverse of Madness,453395,Julian Hilliard,Billy Maximoff,7
Doctor Strange in the Multiverse of Madness,453395,Michael Stuhlbarg,Dr. Nic West,8
Doctor Strange in the Multiverse of Madness,453395,Hayley Atwell,Captain Carter,9
Thor: Love and Thunder,616037,Chris Hemsworth,Thor,0
Thor: Love and Thunder,616037,Natalie Portman,Jane Foster / The Mighty Thor,1
Thor: Love and Thunder,616037,Christian Bale,Gorr,2
Thor: Love and Thunder,616037,Tessa Thompson,King Valkyrie,3
Thor: Love and Thunder,616037,Taika Waititi,Korg / Old Kronan God (voice),4
Thor: Love and Thunder,616037,Russell Crowe,Zeus,5
Thor: Love and Thunder,616037,Jaimie Alexander,Sif,6
Thor: Love and Thunder,616037,Idris Elba,Heimdall,7
Thor: Love and Thunder,616037,Chris Pratt,Peter Quill / Star-Lord,8
Thor: Love and Thunder,616037,Dave Bautista,Drax,9
Black Panther: Wakanda Forever,505642,Letitia Wright,Shuri,0
Black Panther: Wakanda Forever,505642,Tenoch Huerta Mejía,Namor,1
Black Panther: Wakanda Forever,505642,Lupita Nyong'o,Nakia,2
Black Panther: Wakanda Forever,505642,Danai Gurira,Okoye,3
Black Panther: Wakanda Forever,505642,Winston Duke,M'Baku,4
Black Panther: Wakanda Forever,505642,Angela Bassett,Ramonda,5
Black Panther: Wakanda Forever,505642,Martin Freeman,Everett Ross,6
Black Panther: Wakanda Forever,505642,Julia Louis-Dreyfus,Valentina Allegra de Fontaine,7
Black Panther: Wakanda Forever,505642,Dominique Thorne,Riri,8
Black Panther: Wakanda Forever,505642,Florence Kasumba,Ayo,9
Ant-Man and the Wasp: Quantumania,640146,Paul Rudd,Scott Lang / Ant-Man,0
Ant-Man and the Wasp: Quantumania,640146,Evangeline Lilly,Hope Van Dyne / The Wasp,1
Ant-Man and the Wasp: Quantumania,640146,Michael Douglas,Dr. Hank Pym,2
Ant-Man and the Wasp: Quantumania,640146,Michelle Pfeiffer,Janet Van Dyne,3
Ant-Man and the Wasp: Quantumania,640146,Jonathan Majors,Kang the Conqueror,4
Ant-Man and the Wasp: Quantumania,640146,Kathryn Newton,Cassie Lang,5
Ant-Man and the Wasp: Quantumania,640146,Corey Stoll,M.O.D.O.K.,6
Ant-Man and the Wasp: Quantumania,640146,Bill Murray,Lord Krylar,7
Ant-Man and the Wasp: Quantumania,640146,Katy O'Brian,Jentorra,8
Ant-Man and the Wasp: Quantumania,640146,William Jackson Harper,Quaz,9
Guardians of the Galaxy Vol. 3,447365,Chris Pratt,Peter Quill / Star-Lord,0
Guardians of the Galaxy Vol. 3,447365,Zoe Saldaña,Gamora,1
Guardians of the Galaxy Vol. 3,447365,Dave Bautista,Drax,2
Guardians of the Galaxy Vol. 3,447365,Karen Gillan,Nebula,3
Guardians of the Galaxy Vol. 3,447365,Pom Klementieff,Mantis,4
Guardians of the Galaxy Vol. 3,447365,Vin Diesel,Groot (voice),5
Guardians of the Galaxy Vol. 3,447365,Bradley Cooper,Rocket (voice),6
Guardians of the Galaxy Vol. 3,447365,Sean Gunn,Kraglin / Young Rocket (voice),7
Guardians of the Galaxy Vol. 3,447365,Chukwudi Iwuji,The High Evolutionary,8
Guardians of the Galaxy Vol. 3,447365,Will Poulter,Adam Warlock,9
