"person_name","title","release_date","phase","billing_order","previous_mcu_release","days_since_last_appearance","rotten_tomatoes_clean","imdb_rating"
Tom Hiddleston,Thor: The Dark World,2013-11-08,Phase Two,2,2011-05-06,917,67,6.7
Tom Hiddleston,Thor: Ragnarok,2017-11-03,Phase Three,2,2013-11-08,1456,93,7.9
Tom Holland,Spider-Man: Homecoming,2017-07-07,Phase Three,0,,,92,7.4
Tom Holland,Spider-Man: Far From Home,2019-07-02,Phase Three,0,2017-07-07,725,91,7.3
Tom Holland,Spider-Man: No Way Home,2021-12-17,Phase Four,0,2019-07-02,899,93,8.1
Tony Leung Chiu-wai,Shang-Chi and the Legend of the Ten Rings,2021-09-03,Phase Four,1,,,92,7.3
Xochitl Gomez,Doctor Strange in the Multiverse of Madness,2022-05-06,Phase Four,1,,,73,6.9
Zendaya,Spider-Man: No Way Home,2021-12-17,Phase Four,1,,,93,8.1
Zoe Saldaña,Guardians of the Galaxy,2014-08-01,Phase Two,1,,,91,8.0
Zoe Saldaña,Guardians of the Galaxy Vol. 2,2017-05-05,Phase Three,1,2014-08-01,1008,85,7.6
Zoe Saldaña,Guardians of the Galaxy Vol. 3,2023-05-05,Phase Five,1,2017-05-05,2191,82,7.9
